No,Label,Event Name,Trigger,Required,Importance,Event Property,Description,Data Type,Value Example,Analysis,Note
0.1,_context,(상속 컨텍스트),trackSaju() 래퍼가 모든 사주 이벤트에 자동 병합한다. 개별 이벤트 행에는 다시 적지 않는다.,Y,Critical,root_path,제품 안에서 어느 문으로 들어왔는가. 세션 최초 1회만 확정한다.,String,root | intro | share | unknown,진입 문별 결제 전환율 · 공유 링크가 실제로 사람을 데려오는가,마케팅 채널이 아니다 — utm·referrer 는 오토캡처 attribution 이 채운다. share 는 친구가 보낸 /saju/s/ 링크에서 넘어온 사람이고 공유 기능의 유일한 성과 지표다
0.2,_context,(상속 컨텍스트),,Y,Critical,report_tier,무료/유료 모드. 티저에서 payment.enabled 로 확정하고 유료 리포트 화면에서 다시 확정한다.,String,free | paid,두 모드의 행동 차이,서버 /saju/payment/config 가 원천
0.3,_context,(상속 컨텍스트),,Y,High,day_master,일간(日干) 한 글자. 사주 계산 성공 이후 병합하고 새 계산이 덮는다.,String,jia | yi | bing | ding | wu | ji | geng | xin | ren | gui,퍼널 Holding Constant — 일간별 결제 전환율,한자·한글 금지. 10분의 1로만 좁혀 역산 불가
0.4,_context,(상속 컨텍스트),,Y,Medium,dominant_element,드러난 글자의 오행 최다 원소. 동점은 목화토금수 순서로 끊는다.,String,wood | fire | earth | metal | water,오행 편중과 추가질문 사용률의 상관,결정적이어야 한다 — 객체 키 순서에 맡기지 않는다
0.5,_context,(상속 컨텍스트),,Y,High,is_time_unknown,태어난 시각을 모른다고 체크했는가. 입력 제출 이후 병합.,Boolean,false,시간 모름 여부별 이탈률,시간을 모르면 시주가 없어 리포트가 얕아진다
1.1,saju_purchase,saju_entry_viewed,루트(/) 생년월일 입력 화면의 첫 렌더. 마운트당 1회.,Y,Medium,is_returning,이 브라우저에 이전 계산 결과가 남아 있는가.,Boolean,false,신규와 재방문의 전환율 분리,sessionStorage 의 저장된 reading 존재 여부
2.1,saju_purchase,saju_birth_submitted,입력 폼 submit. 유효성 통과 후 계산 API 호출 직전.,Y,High,calendar_type,양력/음력 선택.,String,solar | lunar,음력 입력자의 이탈률,한글 라벨을 값으로 쓰지 않는다
2.2,saju_purchase,saju_birth_submitted,,Y,Low,is_leap_month,윤달 체크 여부.,Boolean,false,윤달 입력 빈도 — UI 노출 축소 판단,
2.3,saju_purchase,saju_birth_submitted,,Y,Medium,gender,성별 선택.,String,M | F,성별 세그먼트 결제율,이벤트 프로퍼티다. 대리 조회 때문에 유저 프로퍼티로 올리면 안 된다
2.4,saju_purchase,saju_birth_submitted,,Y,Medium,has_birth_place,출생지를 골랐는가.,Boolean,true,진태양시 보정 기능의 실사용도,출생지 코드·라벨 자체는 전송 금지
2.5,saju_purchase,saju_birth_submitted,,Y,Medium,form_seconds,입력 화면 진입부터 제출까지 초.,Number,42,입력 마찰 — 긴 체류는 폼이 어렵다는 신호,사람이 보낸 시간이라 초 단위다
2.6,saju_purchase,saju_birth_submitted,,Y,Low,retry_index,이 화면에서 몇 번째 제출인가. 최초는 0.,Number,0,재입력 빈도 — 검증 오류 체감,
3.1,saju_purchase,saju_chart_calculated,POST /api/saju/chart 200 응답 수신. 이 시점에 일간·오행이 상속 컨텍스트로 들어간다.,Y,High,elapsed_ms,요청부터 응답까지 밀리초.,Number,180,계산 지연 — 순수 계산이라 느리면 인프라 문제,
4.1,saju_purchase,saju_chart_failed,계산 API 가 실패했거나 백엔드에 닿지 못했다.,Y,Medium,error_code,서버가 준 코드. 닿지 못했으면 network.,String,invalid_birth | network,실패 사유별 빈도,사용자 입력이 담긴 에러 메시지를 그대로 싣지 않는다
4.2,saju_purchase,saju_chart_failed,,Y,Medium,http_status,HTTP 상태. 네트워크 실패는 0.,Number,422,4xx 와 5xx 의 분리,
4.3,saju_purchase,saju_chart_failed,,Y,Low,elapsed_ms,실패까지 소요 밀리초.,Number,5000,타임아웃 판별,
4.4,saju_purchase,saju_chart_failed,,Y,Low,calendar_type,실패한 입력의 달력 종류.,String,lunar,음력 입력에 실패가 몰리는지,
5.1,saju_purchase,saju_teaser_viewed,티저에 계산 결과가 렌더되고 결제 설정 조회가 끝난 시점. 저장된 결과가 없어 다시 입력하기 화면이 뜨면 발생하지 않는다.,Y,Critical,price_krw,화면에 표시된 가격. 설정을 못 받았으면 null.,Number,1000,가격 변경 전후 전환율 비교,프런트 상수 금지 — 서버가 준 값만
